code,sku,name,price,category,brand,system,sourceUrl,priceDate,currency,notes
HM-G01D,HM-G01D,"Aqara Matter Hub M3",24990,hub,Aqara,Aqara Zigbee,https://aqara.ru/product/%D1%86%D0%B5%D0%BD%D1%82%D1%80-%D1%83%D0%BC%D0%BD%D0%BE%D0%B3%D0%BE-%D0%B4%D0%BE%D0%BC%D0%B0-aqara-matter-hub-m3/,2026-06-05,RUB,"Official retail product page"
CH-C01,CH-C01,"Aqara Camera Hub G2H Pro",9990,camera_hub,Aqara,Aqara Zigbee,https://aqara.ru/product/%D0%BA%D0%B0%D0%BC%D0%B5%D1%80%D0%B0-%D1%85%D0%B0%D0%B1-aqara-camera-hub-g2h-pro/,2026-06-05,RUB,"Official retail product page"
DCM-K01,DCM-K01,"Aqara Dual Relay Module T2",5990,relay,Aqara,Aqara Zigbee,https://aqara.ru/product/%D1%80%D0%B5%D0%BB%D0%B5-%D0%B4%D0%B2%D1%83%D1%85%D0%BA%D0%B0%D0%BD%D0%B0%D0%BB%D1%8C%D0%BD%D0%BE%D0%B5-aqara-dual-relay-module-t2/,2026-06-05,RUB,"Official retail product page"
QBKG38LM,QBKG38LM,"Aqara Smart Wall Switch E1, 1 key, no neutral",2390,wall_switch,Aqara,Aqara Zigbee,https://aqara.ru/product/%D1%83%D0%BC%D0%BD%D1%8B%D0%B9-%D0%BD%D0%B0%D1%81%D1%82%D0%B5%D0%BD%D0%BD%D1%8B%D0%B9-%D0%B2%D1%8B%D0%BA%D0%BB%D1%8E%D1%87%D0%B0%D1%82%D0%B5%D0%BB%D1%8C-%D0%B51-aqara-smart-wall-switch-e1/,2026-06-05,RUB,"Official retail product page; minimum variant price"
WS-EUK04,WS-EUK04,"Aqara Wireless Remote Switch H1 Double Rocker",4490,wireless_switch,Aqara,Aqara Zigbee,https://aqara.ru/product/aqara-wireless-remote-switch-h1/,2026-06-05,RUB,"Official retail product page; minimum variant price"
ZNXNKG02LM,ZNXNKG02LM,"Aqara Smart Knob Switch H1 Wireless",4990,wireless_dimmer,Aqara,Aqara Zigbee,https://aqara.ru/product/%D0%B1%D0%B5%D1%81%D0%BF%D1%80%D0%BE%D0%B2%D0%BE%D0%B4%D0%BD%D0%BE%D0%B9-%D0%B4%D0%B8%D0%BC%D0%BC%D0%B5%D1%80-%D0%BD1/,2026-06-05,RUB,"Official retail product page; minimum variant price"
MS-S02,MS-S02,"Aqara Motion Sensor P1",3490,motion_sensor,Aqara,Aqara Zigbee,https://aqara.ru/product/%D0%B4%D0%B0%D1%82%D1%87%D0%B8%D0%BA-%D0%B4%D0%B2%D0%B8%D0%B6%D0%B5%D0%BD%D0%B8%D1%8F-aqara-motion-sensor-p1/,2026-06-05,RUB,"Official retail product page"
PS-S02D,PS-S02D,"Aqara Presence Sensor FP2",12990,presence_sensor,Aqara,Aqara Zigbee,https://aqara.ru/product/%D0%B4%D0%B0%D1%82%D1%87%D0%B8%D0%BA-%D0%BF%D1%80%D0%B8%D1%81%D1%83%D1%82%D1%81%D1%82%D0%B2%D0%B8%D1%8F-aqara-presence-sensor-fp2/,2026-06-05,RUB,"Official retail product page; minimum kit price"
WL-S02D,WL-S02D,"Aqara Water Leak Sensor T1",2490,leak_sensor,Aqara,Aqara Zigbee,https://aqara.ru/product/%D0%B4%D0%B0%D1%82%D1%87%D0%B8%D0%BA-%D0%BF%D1%80%D0%BE%D1%82%D0%B5%D1%87%D0%BA%D0%B8-aqara-water-leak-sensor-t1/,2026-06-05,RUB,"Official retail product page"
DW-S03D,DW-S03D,"Aqara Door and Window Sensor T1",2490,contact_sensor,Aqara,Aqara Zigbee,https://aqara.ru/product/%D0%B4%D0%B0%D1%82%D1%87%D0%B8%D0%BA-%D0%BE%D1%82%D0%BA%D1%80%D1%8B%D1%82%D0%B8%D1%8F-%D0%B4%D0%B2%D0%B5%D1%80%D0%B5%D0%B9-%D0%B8-%D0%BE%D0%BA%D0%BE%D0%BD-aqara-door-and-window-sensor-t1/,2026-06-05,RUB,"Official retail product page"
GZCGQ11LM,GZCGQ11LM,"Aqara Illumination Sensor T1",2990,light_sensor,Aqara,Aqara Zigbee,https://aqara.ru/product/%D0%B4%D0%B0%D1%82%D1%87%D0%B8%D0%BA-%D0%BE%D1%81%D0%B2%D0%B5%D1%89%D1%91%D0%BD%D0%BD%D0%BE%D1%81%D1%82%D0%B8-%D1%821-aqara-illumination-sensor-t1/,2026-06-05,RUB,"Official retail product page"
RSD-M01,RSD-M01,"Aqara Roller Shade Driver E1",8990,shade_motor,Aqara,Aqara Zigbee,https://aqara.ru/product/%D0%BC%D0%BE%D1%82%D0%BE%D1%80-%D0%B4%D0%BB%D1%8F-%D1%80%D1%83%D0%BB%D0%BE%D0%BD%D0%BD%D1%8B%D1%85-%D1%88%D1%82%D0%BE%D1%80-%D0%B8-%D0%B6%D0%B0%D0%BB%D1%8E%D0%B7%D0%B8-aqara-roller-shade-driver-e1/,2026-06-05,RUB,"Official retail product page"
CM-M01,CM-M01,"Aqara Curtain Driver E1",12490,curtain_motor,Aqara,Aqara Zigbee,https://aqara.ru/product/%D0%BC%D0%BE%D1%82%D0%BE%D1%80-%D1%80%D0%B0%D0%B7%D0%B4%D0%B2%D0%B8%D0%B6%D0%BD%D1%8B%D1%85-%D1%88%D1%82%D0%BE%D1%80-e1-aqara-curtain-driver-e1/,2026-06-05,RUB,"Official retail product page; minimum variant price"
EL-D02D,EL-D02D,"Aqara Smart Lock U200 Kit",39990,smart_lock,Aqara,Aqara Zigbee,https://aqara.ru/product/aqara-smart-lock-u200/,2026-06-05,RUB,"Official retail product page"
