code,sku,name,price,category,brand,system,sourceUrl,priceDate,currency,notes
WB8-2G-16G-IND,WB8-2G-16G-IND,"Kontroller avtomatizatsii Wiren Board 8, 2GB/16GB",23500,controller,Wiren Board,Wiren Board,https://wirenboard.com/ru/catalog/pricelist/,2026-06-05,RUB,"Official retail pricelist"
WB8-4G-64G-IND,WB8-4G-64G-IND,"Kontroller avtomatizatsii Wiren Board 8, 4GB/64GB",26860,controller,Wiren Board,Wiren Board,https://wirenboard.com/ru/catalog/pricelist/,2026-06-05,RUB,"Official retail pricelist"
WB-MRWM2,WB-MRWM2,"2-kanalnyy releynyy modul s izmereniem moshchnosti WB-MRWM2",5000,relay,Wiren Board,Wiren Board,https://wirenboard.com/ru/catalog/pricelist/,2026-06-05,RUB,"Official retail pricelist"
WB-MR6C-v3,WB-MR6C v.3,"6-kanalnyy releynyy modul so vstroennym BP WB-MR6C v.3",5000,relay,Wiren Board,Wiren Board,https://wirenboard.com/ru/catalog/pricelist/,2026-06-05,RUB,"Official retail pricelist"
WB-MR6LV-S,WB-MR6LV/S,"6-kanalnyy releynyy modul WB-MR6LV/S",5920,relay,Wiren Board,Wiren Board,https://wirenboard.com/ru/catalog/pricelist/,2026-06-05,RUB,"Official retail pricelist"
WB-MSW4-TH,WB-MSW4-TH,"Nastennyy datchik temperatury i vlazhnosti WB-MSW4-TH",4300,sensor,Wiren Board,Wiren Board,https://wirenboard.com/ru/catalog/pricelist/,2026-06-05,RUB,"Official retail pricelist"
WB-MSW4,WB-MSW4,"Nastennyy kombinirovannyy datchik WB-MSW4",5900,sensor,Wiren Board,Wiren Board,https://wirenboard.com/ru/catalog/pricelist/,2026-06-05,RUB,"Official retail pricelist"
WB-MDM3,WB-MDM3,"Trekhkanalnyy dimmer WB-MDM3",6700,dimmer,Wiren Board,Wiren Board,https://wirenboard.com/ru/product/WB-MDM3/,2026-06-05,RUB,"Official retail product page"
WB-MAO4,WB-MAO4,"Modul analogovogo vyvoda 0-10V WB-MAO4",4200,analog_output,Wiren Board,Wiren Board,https://wirenboard.com/ru/catalog/pricelist/,2026-06-05,RUB,"Official retail pricelist"
WB-MWAC,WB-MWAC,"Modul ucheta vodopotrebleniya i kontrolya protechek WB-MWAC v.2",6600,water_leak,Wiren Board,Wiren Board,https://wirenboard.com/ru/catalog/pricelist/,2026-06-05,RUB,"Official retail pricelist"
WB-MCM8,WB-MCM8,"8-kanalnyy modul schetnykh vhodov WB-MCM8",3040,input_module,Wiren Board,Wiren Board,https://wirenboard.com/ru/product/WB-MCM8/,2026-06-05,RUB,"Official retail product page"
WB-UPS-v3,WB-UPS v.3,"Modul rezervnogo pitaniya WB-UPS v.3",5800,power_backup,Wiren Board,Wiren Board,https://wirenboard.com/ru/catalog/pricelist/,2026-06-05,RUB,"Official retail pricelist"
WB-MGE-v3,WB-MGE v.3,"Preobrazovatel interfeisov WB-MGE v.3",6000,gateway,Wiren Board,Wiren Board,https://wirenboard.com/ru/catalog/pricelist/,2026-06-05,RUB,"Official retail pricelist"
WB-USB485,WB-USB485,"Preobrazovatel interfeisa WB-USB485",2200,interface,Wiren Board,Wiren Board,https://wirenboard.com/ru/catalog/pricelist/,2026-06-05,RUB,"Official retail pricelist"
WB-T120,WB-T120,"Terminator shiny RS-485 WB-T120",320,accessory,Wiren Board,Wiren Board,https://wirenboard.com/ru/catalog/pricelist/,2026-06-05,RUB,"Official retail pricelist"
